Postal_Code,Population>18,Total,Urban,Rural
98585,503,826,0,826
98586,1546,1981,0,1981
98587,733,1186,0,1186
98588,1494,1970,102,1868
98589,6139,8091,67,8024
98590,359,376,0,376
98591,3090,4419,0,4419
98592,1745,2090,752,1338
98593,1157,1185,0,1185
98595,2245,2995,0,2995
98596,5585,6990,0,6990
98597,19774,27233,14108,13125
98601,2146,3312,0,3312
98602,124,250,0,250
98603,823,1018,0,1018
98604,28114,38245,22840,15405
98605,1154,1267,778,489
98606,7539,9868,1871,7997
98607,25582,35054,30919,4135
98609,0,65,0,65
98610,2279,3017,0,3017
98611,7181,10165,2930,7235
98612,2683,3032,0,3032
98613,500,543,0,543
98614,480,651,0,651
98616,68,200,0,200
98617,832,1183,0,1183
98619,540,465,0,465
98620,5973,7655,0,7655
98621,257,253,0,253
98623,36,41,0,41
98624,1375,1305,670,635
98625,5531,7413,0,7413
98626,20597,26291,18965,7326
98628,332,356,0,356
98629,7439,9586,0,9586
98631,2966,3704,2424,1280
98632,40002,50721,45569,5152
98635,1473,1865,0,1865
98638,1209,1555,0,1555
98639,906,1397,0,1397
98640,4665,5140,4803,337
98641,55,204,0,204
98642,18373,23685,16071,7614
98643,358,403,0,403
98644,628,887,766,121
98645,1667,1811,0,1811
98647,240,499,0,499
98648,2863,3075,0,3075
98649,684,1134,0,1134
98650,1008,1158,0,1158
98651,801,872,0,872
98660,10843,12735,12479,256
98661,39222,48983,48971,12
98662,28891,37134,36690,444
98663,12317,15188,15188,0
98664,18036,24120,24120,0
98665,22256,28780,28780,0
98670,61,113,0,113
98671,18824,24857,17311,7546
98672,5949,7370,3835,3535
98673,393,371,0,371
98674,10806,14415,7217,7198
98675,5298,7688,0,7688
98682,50083,65434,62083,3351
98683,25473,33884,33884,0
98684,27831,33659,33659,0
98685,23641,29797,29512,285
98686,15934,21462,20615,847
98801,33569,44970,41381,3589
98802,23883,32378,30444,1934
98811,120,76,0,76
98812,3699,5161,0,5161
98813,2217,2769,0,2769
98814,656,525,0,525
98815,5746,7804,4705,3099
98816,5547,7067,4031,3036
98817,107,366,0,366
98819,184,280,0,280
98821,646,434,0,434
98822,1675,2253,0,2253
98823,8561,12393,8050,4343
98824,147,160,0,160
98826,6541,7280,0,7280
98827,405,337,0,337
98828,1594,2419,7,2412
98829,477,716,0,716
98830,429,531,0,531
98831,3083,3955,2349,1606
98832,126,349,0,349
98833,142,240,0,240
98834,207,246,0,246
98836,607,515,9,506
98837,34562,46262,38751,7511
98840,3551,4731,2502,2229
98841,6819,8984,5663,3321
98843,1897,2074,0,2074
98844,3561,4599,0,4599
98845,160,138,0,138
98846,942,1074,0,1074
98847,1751,1885,0,1885
98848,8733,13392,7846,5546
98849,874,1220,0,1220
98850,1243,1964,1596,368
98851,3600,4472,0,4472
98852,26,91,0,91
98853,0,79,0,79
98855,4528,6115,0,6115
98856,2051,2776,0,2776
98857,2593,3999,0,3999
98858,1560,1620,0,1620
98859,251,230,0,230
98860,173,259,0,259
98862,2545,2764,0,2764
98901,24045,32351,26886,5465
98902,32953,47589,47568,21
98903,12537,17491,13897,3594
98908,29002,38205,30583,7622
98921,0,544,0,544
98922,6418,6817,2360,4457
98923,928,1281,0,1281
98925,475,608,0,608
98926,26485,32085,21518,10567
98930,9716,15339,11187,4152
98932,3190,5409,0,5409
98933,856,1292,0,1292
98934,809,1164,0,1164
98935,2979,4049,0,4049
98936,5479,6846,0,6846
98937,3446,4423,618,3805
98938,1279,2112,0,2112
98939,59,194,158,36
98940,409,933,0,933
98941,685,988,940,48
98942,13713,18511,13389,5122
98943,573,574,546,28
98944,15918,22412,17140,5272
98946,291,488,0,488
98947,1741,3133,0,3133
98948,9038,13416,10057,3359
98950,54,209,0,209
98951,8976,13821,7117,6704
98952,1288,2347,0,2347
98953,4875,6841,0,6841
99001,6577,8859,8847,12
99003,3691,5302,0,5302
99004,18123,23064,16628,6436
99005,7818,10253,5325,4928
99006,10508,13711,0,13711
99008,329,634,0,634
99009,3635,4096,0,4096
99011,2164,2695,2695,0
99012,849,1018,0,1018
99013,1022,1914,0,1914
99014,0,72,72,0
99016,14530,18496,16984,1512
99017,179,167,0,167
99018,215,285,0,285
99019,8621,12813,11930,883
99020,15,52,0,52
99021,7282,9690,7079,2611
99022,7198,8867,130,8737
99023,676,685,0,685
99025,4501,5272,2177,3095
99026,7315,9347,1036,8311
99027,4981,6556,5715,841
99029,1321,1785,0,1785
99030,495,1131,0,1131
99031,977,1441,0,1441
99032,724,773,0,773
99033,657,954,0,954
99034,180,327,0,327
99036,1280,1579,0,1579
99037,11777,15907,15830,77
99039,133,121,0,121
99040,543,825,0,825
99101,1307,1517,0,1517
99102,418,544,0,544
99103,434,495,0,495
99105,24,62,0,62
99109,4157,5016,0,5016
99110,1177,1853,0,1853
99111,3177,4029,0,4029
99113,457,722,0,722
99114,10014,12649,5058,7591
99115,974,1227,0,1227
99116,1277,1476,0,1476
99117,428,472,0,472
99118,750,786,0,786
99119,1232,1293,0,1293
99121,296,135,0,135
99122,3153,3989,0,3989
99123,740,1063,0,1063
99124,188,244,0,244
99125,412,495,0,495
99126,512,900,0,900
99128,231,315,0,315
99129,552,808,0,808
99130,611,805,0,805
99131,120,144,0,144
99133,1179,1476,0,1476
99134,449,598,0,598
99135,324,288,0,288
99136,17,24,0,24
99137,333,391,0,391
99138,834,1212,0,1212
99139,689,1178,0,1178
99140,472,479,0,479
99141,4974,5737,0,5737
99143,572,602,0,602
99144,19,26,0,26
99146,59,81,0,81
99147,143,236,0,236
99148,2018,2324,0,2324
99149,148,219,0,219
99150,275,373,0,373
99151,146,215,0,215
99152,132,177,0,177
99153,364,499,0,499
99154,25,24,0,24
99155,749,1257,0,1257
99156,7448,8478,0,8478
99157,554,683,0,683
99158,473,595,0,595
99159,1037,1424,0,1424
99160,47,86,0,86
99161,1078,1450,0,1450
99163,29508,34416,32691,1725
99166,2463,3011,0,3011
99167,653,794,0,794
99169,1914,2487,0,2487
99170,713,1135,0,1135
99171,811,975,0,975
99173,1346,1892,0,1892
99174,32,66,0,66
99176,128,169,0,169
99179,345,541,0,541
99180,537,926,0,926
99181,1525,2057,0,2057
99185,1004,1374,0,1374
99201,12752,15716,15716,0
99202,17722,21969,21969,0
99203,17422,21072,21072,0
99204,6388,7000,7000,0
99205,34485,44036,44013,23
99206,33519,39842,39116,726
99207,25585,32059,32059,0
99208,44277,58531,56053,2478
99212,16667,21672,21363,309
99216,21618,28379,28134,245
99217,15197,19298,15342,3956
99218,11916,15591,15564,27
99223,26935,34201,31318,2883
99224,19125,24085,15625,8460
99251,1048,1133,1133,0
99258,499,530,530,0
99301,57954,85272,80239,5033
99320,7402,10215,0,10215
99321,606,669,0,669
99322,332,234,0,234
99323,2983,3882,0,3882
99324,7930,10226,10226,0
99326,4619,6277,5437,840
99328,3032,3620,0,3620
99329,125,206,0,206
99330,671,1061,0,1061
99333,74,39,0,39
99335,139,240,0,240
99336,37902,51127,51099,28
99337,24910,33458,31326,2132
99338,12901,19117,16951,2166
99341,619,788,0,788
99343,2233,3206,0,3206
99344,12068,18948,10865,8083
99345,125,159,0,159
99346,293,345,0,345
99347,1935,2342,0,2342
99348,1078,1685,0,1685
99349,5266,7960,0,7960
99350,9986,13240,6589,6651
99352,26903,35762,34789,973
99353,12306,17934,16636,1298
99354,19493,24839,24361,478
99356,222,290,0,290
99357,2496,4240,0,4240
99359,100,155,0,155
99360,937,1428,0,1428
99361,1371,1908,0,1908
99362,35022,43249,39683,3566
99363,61,169,0,169
99371,243,346,0,346
99401,206,286,0,286
99402,1281,1814,1232,582
99403,16403,20224,19435,789
